scenario,variant,run,tool,rule_id,severity,cvss,file,line,message
scenario-b,1,5,dependency-check,CVE-2020-14343,critical,9.8,file:///github/workspace/apps/flask-app/requirements.txt:PyYAML/5.3.1,,"CVE-2020-14343 - A vulnerability was discovered in the PyYAML library in versions before 5.4, where it is susceptible to arbitrary code execution when it proces"
scenario-b,2,1,dependency-check,CVE-2018-7750,critical,9.8,file:///github/workspace/apps/flask-app/requirements.txt:paramiko/2.4.0,,"CVE-2018-7750 - transport.py in the SSH server implementation of Paramiko before 1.17.6, 1.18.x before 1.18.5, 2.0.x before 2.0.8, 2.1.x before 2.1.5, 2.2.x bef"
scenario-b,2,1,dependency-check,CVE-2022-24302,medium,5.9,file:///github/workspace/apps/flask-app/requirements.txt:paramiko/2.4.0,,"CVE-2022-24302 - In Paramiko before 2.10.1, a race condition (between creation and chmod) in the write_private_key_file function could allow unauthorized inform"
scenario-b,2,1,dependency-check,CVE-2023-48795,medium,5.9,file:///github/workspace/apps/flask-app/requirements.txt:paramiko/2.4.0,,"CVE-2023-48795 - The SSH transport protocol with certain OpenSSH extensions, found in OpenSSH before 9.6 and other products, allows remote attackers to bypass i"
scenario-b,2,1,trivy,CVE-2026-27205,low,2.0,requirements.txt,1,"Package: Flask
Installed Version: 3.0.3
Vulnerability CVE-2026-27205
Severity: LOW
Fixed Version: 3.1.3
Link: [CVE-2026-27205](https://avd.aquasec.com/nvd/cve-2"
scenario-b,2,1,trivy,CVE-2018-7750,critical,9.8,requirements.txt,5,"Package: paramiko
Installed Version: 2.4.0
Vulnerability CVE-2018-7750
Severity: CRITICAL
Fixed Version: 2.0.8, 2.1.5, 2.2.3, 2.3.2, 2.4.1, 1.18.5, 1.17.6
Link:"
scenario-b,2,1,trivy,CVE-2018-1000805,high,8.8,requirements.txt,5,"Package: paramiko
Installed Version: 2.4.0
Vulnerability CVE-2018-1000805
Severity: HIGH
Fixed Version: 2.4.2, 2.3.3, 2.2.4, 2.1.6, 2.0.9
Link: [CVE-2018-100080"
scenario-b,2,2,dependency-check,CVE-2018-7750,critical,9.8,file:///github/workspace/apps/flask-app/requirements.txt:paramiko/2.4.0,,"CVE-2018-7750 - transport.py in the SSH server implementation of Paramiko before 1.17.6, 1.18.x before 1.18.5, 2.0.x before 2.0.8, 2.1.x before 2.1.5, 2.2.x bef"
scenario-b,2,2,dependency-check,CVE-2022-24302,medium,5.9,file:///github/workspace/apps/flask-app/requirements.txt:paramiko/2.4.0,,"CVE-2022-24302 - In Paramiko before 2.10.1, a race condition (between creation and chmod) in the write_private_key_file function could allow unauthorized inform"
scenario-b,2,2,dependency-check,CVE-2023-48795,medium,5.9,file:///github/workspace/apps/flask-app/requirements.txt:paramiko/2.4.0,,"CVE-2023-48795 - The SSH transport protocol with certain OpenSSH extensions, found in OpenSSH before 9.6 and other products, allows remote attackers to bypass i"
scenario-b,2,2,trivy,CVE-2026-27205,low,2.0,requirements.txt,1,"Package: Flask
Installed Version: 3.0.3
Vulnerability CVE-2026-27205
Severity: LOW
Fixed Version: 3.1.3
Link: [CVE-2026-27205](https://avd.aquasec.com/nvd/cve-2"
scenario-b,2,2,trivy,CVE-2018-7750,critical,9.8,requirements.txt,5,"Package: paramiko
Installed Version: 2.4.0
Vulnerability CVE-2018-7750
Severity: CRITICAL
Fixed Version: 2.0.8, 2.1.5, 2.2.3, 2.3.2, 2.4.1, 1.18.5, 1.17.6
Link:"
scenario-b,2,2,trivy,CVE-2018-1000805,high,8.8,requirements.txt,5,"Package: paramiko
Installed Version: 2.4.0
Vulnerability CVE-2018-1000805
Severity: HIGH
Fixed Version: 2.4.2, 2.3.3, 2.2.4, 2.1.6, 2.0.9
Link: [CVE-2018-100080"
scenario-b,2,3,dependency-check,CVE-2018-7750,critical,9.8,file:///github/workspace/apps/flask-app/requirements.txt:paramiko/2.4.0,,"CVE-2018-7750 - transport.py in the SSH server implementation of Paramiko before 1.17.6, 1.18.x before 1.18.5, 2.0.x before 2.0.8, 2.1.x before 2.1.5, 2.2.x bef"
scenario-b,2,3,dependency-check,CVE-2022-24302,medium,5.9,file:///github/workspace/apps/flask-app/requirements.txt:paramiko/2.4.0,,"CVE-2022-24302 - In Paramiko before 2.10.1, a race condition (between creation and chmod) in the write_private_key_file function could allow unauthorized inform"
scenario-b,2,3,dependency-check,CVE-2023-48795,medium,5.9,file:///github/workspace/apps/flask-app/requirements.txt:paramiko/2.4.0,,"CVE-2023-48795 - The SSH transport protocol with certain OpenSSH extensions, found in OpenSSH before 9.6 and other products, allows remote attackers to bypass i"
scenario-b,2,3,trivy,CVE-2026-27205,low,2.0,requirements.txt,1,"Package: Flask
Installed Version: 3.0.3
Vulnerability CVE-2026-27205
Severity: LOW
Fixed Version: 3.1.3
Link: [CVE-2026-27205](https://avd.aquasec.com/nvd/cve-2"
scenario-b,2,3,trivy,CVE-2018-7750,critical,9.8,requirements.txt,5,"Package: paramiko
Installed Version: 2.4.0
Vulnerability CVE-2018-7750
Severity: CRITICAL
Fixed Version: 2.0.8, 2.1.5, 2.2.3, 2.3.2, 2.4.1, 1.18.5, 1.17.6
Link:"
scenario-b,2,3,trivy,CVE-2018-1000805,high,8.8,requirements.txt,5,"Package: paramiko
Installed Version: 2.4.0
Vulnerability CVE-2018-1000805
Severity: HIGH
Fixed Version: 2.4.2, 2.3.3, 2.2.4, 2.1.6, 2.0.9
Link: [CVE-2018-100080"
scenario-b,3,1,trivy,CVE-2026-27205,low,2.0,requirements.txt,1,"Package: Flask
Installed Version: 3.0.3
Vulnerability CVE-2026-27205
Severity: LOW
Fixed Version: 3.1.3
Link: [CVE-2026-27205](https://avd.aquasec.com/nvd/cve-2"
scenario-b,3,1,trivy,CVE-2024-1135,high,8.2,requirements.txt,4,"Package: gunicorn
Installed Version: 20.0.0
Vulnerability CVE-2024-1135
Severity: HIGH
Fixed Version: 22.0.0
Link: [CVE-2024-1135](https://avd.aquasec.com/nvd/c"
scenario-b,3,1,trivy,CVE-2024-6827,high,7.5,requirements.txt,4,"Package: gunicorn
Installed Version: 20.0.0
Vulnerability CVE-2024-6827
Severity: HIGH
Fixed Version: 22.0.0
Link: [CVE-2024-6827](https://avd.aquasec.com/nvd/c"
scenario-b,3,1,trivy,CVE-2026-27205,low,2.0,usr/local/lib/python3.12/site-packages/flask-3.0.3.dist-info/METADATA,1,"Package: Flask
Installed Version: 3.0.3
Vulnerability CVE-2026-27205
Severity: LOW
Fixed Version: 3.1.3
Link: [CVE-2026-27205](https://avd.aquasec.com/nvd/cve-2"
scenario-b,3,1,trivy,CVE-2024-1135,high,8.2,usr/local/lib/python3.12/site-packages/gunicorn-20.0.0.dist-info/METADATA,1,"Package: gunicorn
Installed Version: 20.0.0
Vulnerability CVE-2024-1135
Severity: HIGH
Fixed Version: 22.0.0
Link: [CVE-2024-1135](https://avd.aquasec.com/nvd/c"
scenario-b,3,1,trivy,CVE-2024-6827,high,7.5,usr/local/lib/python3.12/site-packages/gunicorn-20.0.0.dist-info/METADATA,1,"Package: gunicorn
Installed Version: 20.0.0
Vulnerability CVE-2024-6827
Severity: HIGH
Fixed Version: 22.0.0
Link: [CVE-2024-6827](https://avd.aquasec.com/nvd/c"
scenario-b,3,1,trivy,CVE-2025-8869,medium,5.5,usr/local/lib/python3.12/site-packages/pip-25.0.1.dist-info/METADATA,1,"Package: pip
Installed Version: 25.0.1
Vulnerability CVE-2025-8869
Severity: MEDIUM
Fixed Version: 25.3
Link: [CVE-2025-8869](https://avd.aquasec.com/nvd/cve-20"
scenario-b,3,1,trivy,CVE-2026-3219,medium,5.5,usr/local/lib/python3.12/site-packages/pip-25.0.1.dist-info/METADATA,1,"Package: pip
Installed Version: 25.0.1
Vulnerability CVE-2026-3219
Severity: MEDIUM
Fixed Version: 26.1
Link: [CVE-2026-3219](https://avd.aquasec.com/nvd/cve-20"
scenario-b,3,1,trivy,CVE-2026-6357,medium,5.5,usr/local/lib/python3.12/site-packages/pip-25.0.1.dist-info/METADATA,1,"Package: pip
Installed Version: 25.0.1
Vulnerability CVE-2026-6357
Severity: MEDIUM
Fixed Version: 26.1
Link: [CVE-2026-6357](https://avd.aquasec.com/nvd/cve-20"
scenario-b,3,1,trivy,CVE-2026-1703,low,2.0,usr/local/lib/python3.12/site-packages/pip-25.0.1.dist-info/METADATA,1,"Package: pip
Installed Version: 25.0.1
Vulnerability CVE-2026-1703
Severity: LOW
Fixed Version: 26.0
Link: [CVE-2026-1703](https://avd.aquasec.com/nvd/cve-2026-"
scenario-b,3,1,zap,10095,medium,,http://localhost:3000,31,Backup File Disclosure
scenario-b,3,1,zap,40038,medium,,http://localhost:3000,5,Bypassing 403
scenario-b,3,1,zap,40040,medium,,http://localhost:3000,5,CORS Misconfiguration
scenario-b,3,1,zap,10038,medium,,http://localhost:3000,5,Content Security Policy (CSP) Header Not Set
scenario-b,3,1,zap,10098,medium,,http://localhost:3000,5,Cross-Domain Misconfiguration
scenario-b,3,1,zap,10017,low,,http://localhost:3000,5,Cross-Domain JavaScript Source File Inclusion
scenario-b,3,1,zap,90004,low,,http://localhost:3000,5,Cross-Origin-Embedder-Policy Header Missing or Invalid
scenario-b,3,1,zap,90004,low,,http://localhost:3000,5,Cross-Origin-Opener-Policy Header Missing or Invalid
scenario-b,3,1,zap,10110,low,,http://localhost:3000,2,Dangerous JS Functions
scenario-b,3,1,zap,10063,low,,http://localhost:3000,5,Deprecated Feature Policy Header Set
scenario-b,3,1,zap,10096,low,,http://localhost:3000,1,Timestamp Disclosure - Unix
scenario-b,3,1,zap,10109,info,,http://localhost:3000,5,Modern Web Application
scenario-b,3,1,zap,10049,info,,http://localhost:3000,2,Non-Storable Content
scenario-b,3,1,zap,10049,info,,http://localhost:3000,1,Storable and Cacheable Content
scenario-b,3,1,zap,10049,info,,http://localhost:3000,5,Storable but Non-Cacheable Content
scenario-b,3,1,zap,10104,info,,http://localhost:3000,5,User Agent Fuzzer
scenario-b,3,2,trivy,CVE-2026-27205,low,2.0,requirements.txt,1,"Package: Flask
Installed Version: 3.0.3
Vulnerability CVE-2026-27205
Severity: LOW
Fixed Version: 3.1.3
Link: [CVE-2026-27205](https://avd.aquasec.com/nvd/cve-2"
scenario-b,3,2,trivy,CVE-2024-1135,high,8.2,requirements.txt,4,"Package: gunicorn
Installed Version: 20.0.0
Vulnerability CVE-2024-1135
Severity: HIGH
Fixed Version: 22.0.0
Link: [CVE-2024-1135](https://avd.aquasec.com/nvd/c"
scenario-b,3,2,trivy,CVE-2024-6827,high,7.5,requirements.txt,4,"Package: gunicorn
Installed Version: 20.0.0
Vulnerability CVE-2024-6827
Severity: HIGH
Fixed Version: 22.0.0
Link: [CVE-2024-6827](https://avd.aquasec.com/nvd/c"
scenario-b,3,2,trivy,CVE-2026-27205,low,2.0,usr/local/lib/python3.12/site-packages/flask-3.0.3.dist-info/METADATA,1,"Package: Flask
Installed Version: 3.0.3
Vulnerability CVE-2026-27205
Severity: LOW
Fixed Version: 3.1.3
Link: [CVE-2026-27205](https://avd.aquasec.com/nvd/cve-2"
scenario-b,3,2,trivy,CVE-2024-1135,high,8.2,usr/local/lib/python3.12/site-packages/gunicorn-20.0.0.dist-info/METADATA,1,"Package: gunicorn
Installed Version: 20.0.0
Vulnerability CVE-2024-1135
Severity: HIGH
Fixed Version: 22.0.0
Link: [CVE-2024-1135](https://avd.aquasec.com/nvd/c"
scenario-b,3,2,trivy,CVE-2024-6827,high,7.5,usr/local/lib/python3.12/site-packages/gunicorn-20.0.0.dist-info/METADATA,1,"Package: gunicorn
Installed Version: 20.0.0
Vulnerability CVE-2024-6827
Severity: HIGH
Fixed Version: 22.0.0
Link: [CVE-2024-6827](https://avd.aquasec.com/nvd/c"
scenario-b,3,2,trivy,CVE-2025-8869,medium,5.5,usr/local/lib/python3.12/site-packages/pip-25.0.1.dist-info/METADATA,1,"Package: pip
Installed Version: 25.0.1
Vulnerability CVE-2025-8869
Severity: MEDIUM
Fixed Version: 25.3
Link: [CVE-2025-8869](https://avd.aquasec.com/nvd/cve-20"
scenario-b,3,2,trivy,CVE-2026-3219,medium,5.5,usr/local/lib/python3.12/site-packages/pip-25.0.1.dist-info/METADATA,1,"Package: pip
Installed Version: 25.0.1
Vulnerability CVE-2026-3219
Severity: MEDIUM
Fixed Version: 26.1
Link: [CVE-2026-3219](https://avd.aquasec.com/nvd/cve-20"
scenario-b,3,2,trivy,CVE-2026-6357,medium,5.5,usr/local/lib/python3.12/site-packages/pip-25.0.1.dist-info/METADATA,1,"Package: pip
Installed Version: 25.0.1
Vulnerability CVE-2026-6357
Severity: MEDIUM
Fixed Version: 26.1
Link: [CVE-2026-6357](https://avd.aquasec.com/nvd/cve-20"
scenario-b,3,2,trivy,CVE-2026-1703,low,2.0,usr/local/lib/python3.12/site-packages/pip-25.0.1.dist-info/METADATA,1,"Package: pip
Installed Version: 25.0.1
Vulnerability CVE-2026-1703
Severity: LOW
Fixed Version: 26.0
Link: [CVE-2026-1703](https://avd.aquasec.com/nvd/cve-2026-"
scenario-b,3,2,zap,10095,medium,,http://localhost:3000,31,Backup File Disclosure
scenario-b,3,2,zap,40038,medium,,http://localhost:3000,5,Bypassing 403
scenario-b,3,2,zap,40040,medium,,http://localhost:3000,5,CORS Misconfiguration
scenario-b,3,2,zap,10038,medium,,http://localhost:3000,5,Content Security Policy (CSP) Header Not Set
scenario-b,3,2,zap,10098,medium,,http://localhost:3000,5,Cross-Domain Misconfiguration
scenario-b,3,2,zap,10017,low,,http://localhost:3000,5,Cross-Domain JavaScript Source File Inclusion
scenario-b,3,2,zap,90004,low,,http://localhost:3000,5,Cross-Origin-Embedder-Policy Header Missing or Invalid
scenario-b,3,2,zap,90004,low,,http://localhost:3000,5,Cross-Origin-Opener-Policy Header Missing or Invalid
scenario-b,3,2,zap,10110,low,,http://localhost:3000,2,Dangerous JS Functions
scenario-b,3,2,zap,10063,low,,http://localhost:3000,5,Deprecated Feature Policy Header Set
scenario-b,3,2,zap,10096,low,,http://localhost:3000,1,Timestamp Disclosure - Unix
scenario-b,3,2,zap,10109,info,,http://localhost:3000,5,Modern Web Application
scenario-b,3,2,zap,10049,info,,http://localhost:3000,1,Non-Storable Content
scenario-b,3,2,zap,10049,info,,http://localhost:3000,1,Storable and Cacheable Content
scenario-b,3,2,zap,10049,info,,http://localhost:3000,5,Storable but Non-Cacheable Content
scenario-b,3,2,zap,10104,info,,http://localhost:3000,5,User Agent Fuzzer
scenario-b,3,3,trivy,CVE-2026-27205,low,2.0,requirements.txt,1,"Package: Flask
Installed Version: 3.0.3
Vulnerability CVE-2026-27205
Severity: LOW
Fixed Version: 3.1.3
Link: [CVE-2026-27205](https://avd.aquasec.com/nvd/cve-2"
scenario-b,3,3,trivy,CVE-2024-1135,high,8.2,requirements.txt,4,"Package: gunicorn
Installed Version: 20.0.0
Vulnerability CVE-2024-1135
Severity: HIGH
Fixed Version: 22.0.0
Link: [CVE-2024-1135](https://avd.aquasec.com/nvd/c"
scenario-b,3,3,trivy,CVE-2024-6827,high,7.5,requirements.txt,4,"Package: gunicorn
Installed Version: 20.0.0
Vulnerability CVE-2024-6827
Severity: HIGH
Fixed Version: 22.0.0
Link: [CVE-2024-6827](https://avd.aquasec.com/nvd/c"
scenario-b,3,3,trivy,CVE-2026-27205,low,2.0,usr/local/lib/python3.12/site-packages/flask-3.0.3.dist-info/METADATA,1,"Package: Flask
Installed Version: 3.0.3
Vulnerability CVE-2026-27205
Severity: LOW
Fixed Version: 3.1.3
Link: [CVE-2026-27205](https://avd.aquasec.com/nvd/cve-2"
scenario-b,3,3,trivy,CVE-2024-1135,high,8.2,usr/local/lib/python3.12/site-packages/gunicorn-20.0.0.dist-info/METADATA,1,"Package: gunicorn
Installed Version: 20.0.0
Vulnerability CVE-2024-1135
Severity: HIGH
Fixed Version: 22.0.0
Link: [CVE-2024-1135](https://avd.aquasec.com/nvd/c"
scenario-b,3,3,trivy,CVE-2024-6827,high,7.5,usr/local/lib/python3.12/site-packages/gunicorn-20.0.0.dist-info/METADATA,1,"Package: gunicorn
Installed Version: 20.0.0
Vulnerability CVE-2024-6827
Severity: HIGH
Fixed Version: 22.0.0
Link: [CVE-2024-6827](https://avd.aquasec.com/nvd/c"
scenario-b,3,3,trivy,CVE-2025-8869,medium,5.5,usr/local/lib/python3.12/site-packages/pip-25.0.1.dist-info/METADATA,1,"Package: pip
Installed Version: 25.0.1
Vulnerability CVE-2025-8869
Severity: MEDIUM
Fixed Version: 25.3
Link: [CVE-2025-8869](https://avd.aquasec.com/nvd/cve-20"
scenario-b,3,3,trivy,CVE-2026-3219,medium,5.5,usr/local/lib/python3.12/site-packages/pip-25.0.1.dist-info/METADATA,1,"Package: pip
Installed Version: 25.0.1
Vulnerability CVE-2026-3219
Severity: MEDIUM
Fixed Version: 26.1
Link: [CVE-2026-3219](https://avd.aquasec.com/nvd/cve-20"
scenario-b,3,3,trivy,CVE-2026-6357,medium,5.5,usr/local/lib/python3.12/site-packages/pip-25.0.1.dist-info/METADATA,1,"Package: pip
Installed Version: 25.0.1
Vulnerability CVE-2026-6357
Severity: MEDIUM
Fixed Version: 26.1
Link: [CVE-2026-6357](https://avd.aquasec.com/nvd/cve-20"
scenario-b,3,3,trivy,CVE-2026-1703,low,2.0,usr/local/lib/python3.12/site-packages/pip-25.0.1.dist-info/METADATA,1,"Package: pip
Installed Version: 25.0.1
Vulnerability CVE-2026-1703
Severity: LOW
Fixed Version: 26.0
Link: [CVE-2026-1703](https://avd.aquasec.com/nvd/cve-2026-"
scenario-b,3,3,zap,10095,medium,,http://localhost:3000,31,Backup File Disclosure
scenario-b,3,3,zap,40038,medium,,http://localhost:3000,5,Bypassing 403
scenario-b,3,3,zap,40040,medium,,http://localhost:3000,5,CORS Misconfiguration
scenario-b,3,3,zap,10038,medium,,http://localhost:3000,5,Content Security Policy (CSP) Header Not Set
scenario-b,3,3,zap,10098,medium,,http://localhost:3000,5,Cross-Domain Misconfiguration
scenario-b,3,3,zap,10017,low,,http://localhost:3000,5,Cross-Domain JavaScript Source File Inclusion
scenario-b,3,3,zap,90004,low,,http://localhost:3000,5,Cross-Origin-Embedder-Policy Header Missing or Invalid
scenario-b,3,3,zap,90004,low,,http://localhost:3000,5,Cross-Origin-Opener-Policy Header Missing or Invalid
scenario-b,3,3,zap,10110,low,,http://localhost:3000,2,Dangerous JS Functions
scenario-b,3,3,zap,10063,low,,http://localhost:3000,5,Deprecated Feature Policy Header Set
scenario-b,3,3,zap,10096,low,,http://localhost:3000,1,Timestamp Disclosure - Unix
scenario-b,3,3,zap,10109,info,,http://localhost:3000,5,Modern Web Application
scenario-b,3,3,zap,10049,info,,http://localhost:3000,1,Non-Storable Content
scenario-b,3,3,zap,10049,info,,http://localhost:3000,1,Storable and Cacheable Content
scenario-b,3,3,zap,10049,info,,http://localhost:3000,5,Storable but Non-Cacheable Content
scenario-b,3,3,zap,10104,info,,http://localhost:3000,5,User Agent Fuzzer
scenario-c,1,2,zap,10095,medium,,http://localhost:3000,31,Backup File Disclosure
scenario-c,1,2,zap,40038,medium,,http://localhost:3000,5,Bypassing 403
scenario-c,1,2,zap,40040,medium,,http://localhost:3000,5,CORS Misconfiguration
scenario-c,1,2,zap,10038,medium,,http://localhost:3000,5,Content Security Policy (CSP) Header Not Set
scenario-c,1,2,zap,10098,medium,,http://localhost:3000,5,Cross-Domain Misconfiguration
scenario-c,1,2,zap,10017,low,,http://localhost:3000,5,Cross-Domain JavaScript Source File Inclusion
scenario-c,1,2,zap,90004,low,,http://localhost:3000,5,Cross-Origin-Embedder-Policy Header Missing or Invalid
scenario-c,1,2,zap,90004,low,,http://localhost:3000,5,Cross-Origin-Opener-Policy Header Missing or Invalid
scenario-c,1,2,zap,10110,low,,http://localhost:3000,2,Dangerous JS Functions
scenario-c,1,2,zap,10063,low,,http://localhost:3000,5,Deprecated Feature Policy Header Set
scenario-c,1,2,zap,10096,low,,http://localhost:3000,1,Timestamp Disclosure - Unix
scenario-c,1,2,zap,10109,info,,http://localhost:3000,5,Modern Web Application
scenario-c,1,2,zap,10049,info,,http://localhost:3000,1,Non-Storable Content
scenario-c,1,2,zap,10049,info,,http://localhost:3000,1,Storable and Cacheable Content
scenario-c,1,2,zap,10049,info,,http://localhost:3000,5,Storable but Non-Cacheable Content
scenario-c,1,2,zap,10104,info,,http://localhost:3000,5,User Agent Fuzzer
scenario-c,1,4,zap,10095,medium,,http://localhost:3000,31,Backup File Disclosure
scenario-c,1,4,zap,40038,medium,,http://localhost:3000,5,Bypassing 403
scenario-c,1,4,zap,40040,medium,,http://localhost:3000,5,CORS Misconfiguration
scenario-c,1,4,zap,10038,medium,,http://localhost:3000,5,Content Security Policy (CSP) Header Not Set
scenario-c,1,4,zap,10098,medium,,http://localhost:3000,5,Cross-Domain Misconfiguration
scenario-c,1,4,zap,10017,low,,http://localhost:3000,5,Cross-Domain JavaScript Source File Inclusion
scenario-c,1,4,zap,90004,low,,http://localhost:3000,5,Cross-Origin-Embedder-Policy Header Missing or Invalid
scenario-c,1,4,zap,90004,low,,http://localhost:3000,5,Cross-Origin-Opener-Policy Header Missing or Invalid
scenario-c,1,4,zap,10110,low,,http://localhost:3000,2,Dangerous JS Functions
scenario-c,1,4,zap,10063,low,,http://localhost:3000,5,Deprecated Feature Policy Header Set
scenario-c,1,4,zap,10096,low,,http://localhost:3000,1,Timestamp Disclosure - Unix
scenario-c,1,4,zap,10109,info,,http://localhost:3000,5,Modern Web Application
scenario-c,1,4,zap,10049,info,,http://localhost:3000,1,Non-Storable Content
scenario-c,1,4,zap,10049,info,,http://localhost:3000,1,Storable and Cacheable Content
scenario-c,1,4,zap,10049,info,,http://localhost:3000,5,Storable but Non-Cacheable Content
scenario-c,1,4,zap,10104,info,,http://localhost:3000,5,User Agent Fuzzer
scenario-c,1,5,zap,10095,medium,,http://localhost:3000,31,Backup File Disclosure
scenario-c,1,5,zap,40038,medium,,http://localhost:3000,5,Bypassing 403
scenario-c,1,5,zap,40040,medium,,http://localhost:3000,5,CORS Misconfiguration
scenario-c,1,5,zap,10038,medium,,http://localhost:3000,5,Content Security Policy (CSP) Header Not Set
scenario-c,1,5,zap,10098,medium,,http://localhost:3000,5,Cross-Domain Misconfiguration
scenario-c,1,5,zap,10017,low,,http://localhost:3000,5,Cross-Domain JavaScript Source File Inclusion
scenario-c,1,5,zap,90004,low,,http://localhost:3000,5,Cross-Origin-Embedder-Policy Header Missing or Invalid
scenario-c,1,5,zap,90004,low,,http://localhost:3000,5,Cross-Origin-Opener-Policy Header Missing or Invalid
scenario-c,1,5,zap,10110,low,,http://localhost:3000,2,Dangerous JS Functions
scenario-c,1,5,zap,10063,low,,http://localhost:3000,5,Deprecated Feature Policy Header Set
scenario-c,1,5,zap,10096,low,,http://localhost:3000,1,Timestamp Disclosure - Unix
scenario-c,1,5,zap,10109,info,,http://localhost:3000,5,Modern Web Application
scenario-c,1,5,zap,10049,info,,http://localhost:3000,1,Non-Storable Content
